,x,y
216,-73.9661,40.60251
217,-73.950853,40.596614
218,-73.952545,40.599251
219,-73.959777,40.596299
220,-73.950979,40.597271
221,-73.97278,40.591695
222,-73.955476,40.598938
223,-73.952709,40.606353
224,-73.949448,40.599598
225,-73.967273,40.599939
226,-73.962633,40.595986
227,-73.968776,40.592869
228,-73.948822,40.611498
229,-73.957757,40.600986
230,-73.948414,40.609333
231,-73.967376,40.595461
232,-73.957853,40.596511
233,-73.969152,40.59485
234,-73.950518,40.594882
235,-73.951691,40.606462
236,-73.954942,40.601297
237,-73.949023,40.597349
238,-73.972673,40.592439
239,-73.956928,40.596612
240,-73.968703,40.597479
241,-73.952204,40.597131
242,-73.947595,40.599801
243,-73.950764,40.606565
244,-73.95202,40.59616
245,-73.959462,40.594584
246,-73.968185,40.594744
247,-73.955076,40.596816
248,-73.948023,40.602056
249,-73.957462,40.594439
250,-73.949051,40.597495
251,-73.963403,40.594319
252,-73.950327,40.604242
253,-73.967849,40.592971
254,-73.94895,40.601954
255,-73.956354,40.603579
256,-73.954223,40.592308
257,-73.954735,40.595029
258,-73.947452,40.609436
259,-73.963693,40.595872
260,-73.953812,40.595343
261,-73.967221,40.594652
262,-73.948911,40.606768
263,-73.947059,40.602162
264,-73.958368,40.594228
265,-73.949398,40.604344
266,-73.947883,40.611607
267,-73.952912,40.595752
268,-73.971288,40.59116
269,-73.95411,40.59692
270,-73.969228,40.595256
271,-73.949874,40.601853
272,-73.955905,40.601191
273,-73.967777,40.59758
274,-73.960789,40.593014
275,-73.94819,40.592967
276,-73.959393,40.593909
277,-73.971555,40.59256
278,-73.947263,40.598045
279,-73.949116,40.592868
280,-73.952699,40.594637
281,-73.966449,40.595567
282,-73.948116,40.597566
283,-73.956556,40.594648
284,-73.962992,40.592074
285,-73.955648,40.59485
286,-73.970628,40.592664
287,-73.956001,40.596714
288,-73.949837,40.606667
289,-73.959135,40.592504
290,-73.94859,40.595088
291,-73.96685,40.597683
292,-73.965637,40.600121
293,-73.946933,40.611684
294,-73.966173,40.600057
295,-73.958798,40.593931
296,-73.961028,40.596161
297,-73.947189,40.597671
298,-73.959263,40.593179
299,-73.9523,40.592514
300,-73.964117,40.597986
301,-73.966654,40.591677
302,-73.960736,40.592327
303,-73.951754,40.594738
304,-73.948138,40.597697
305,-73.965117,40.594449
306,-73.948473,40.604446
307,-73.946986,40.606979
308,-73.963122,40.592759
309,-73.965904,40.60009
310,-73.965076,40.595717
311,-73.947663,40.595189
312,-73.958862,40.591064
313,-73.960845,40.593743
314,-73.96573,40.597805
315,-73.953659,40.59453
316,-73.961703,40.596092
317,-73.958869,40.594058
318,-73.960888,40.594365
319,-73.965352,40.595685
320,-73.947512,40.604551
321,-73.947948,40.606876
322,-73.963262,40.593478
323,-73.965477,40.597832
324,-73.950134,40.59276
325,-73.96573,40.591779
326,-73.964815,40.595747
327,-73.966924,40.593074
328,-73.96068,40.591598
329,-73.969703,40.592766
330,-73.964493,40.592604
331,-73.965213,40.597861
332,-73.965996,40.593175
333,-73.964828,40.594408
334,-73.962849,40.59136
335,-73.964659,40.591893
336,-73.95326,40.592413
337,-73.963774,40.591257
338,-73.964547,40.594417
339,-73.958998,40.591784
340,-73.947264,40.593072
341,-73.957676,40.591928
342,-73.959677,40.591707
343,-73.964899,40.593301
344,-73.964337,40.593356
345,-73.965234,40.591828
346,-73.964841,40.591138
347,-73.964619,40.593327
348,-73.951349,40.592622
349,-73.955148,40.592207
350,-73.957003,40.592002
351,-73.956077,40.592101
352,-73.965129,40.591109
353,-73.965415,40.591076
354,-73.97303,40.609003
355,-73.972994,40.608814
356,-73.96286,40.61255
357,-73.972206,40.6042
358,-73.973022,40.598519
